,category,speaker,title,source,veracity
0,"사회, 코로나 바이러스",옌리멍,신종 코로나바이러스(SARS-CoV-2·코로나19)가 중국 우한바이러스연구소에서 인위적으로 만들어졌다,출처 : 옌리멍 박사와 연구진의 논문,대체로 사실 아님
1,"정치, 사회, 코로나 바이러스",언론사 자체 문제제기,"신종 코로나바이러스 감염증(코로나19) 백신, 한국도 부족한데 북한에게 퍼준다?",출처 : 언론사 자체 문제제기,대체로 사실 아님
2,경제,언론사 자체 문제제기,비임상 임상시험수탁기관(CRO) 켐온과 신종 코로나바이러스 감염증(코로나19) 백신 개발사 아스트라제네카는 관련이 있다,출처 : 언론사 자체 문제제기,대체로 사실 아님
3,"국제, 사회, IT/과학, 코로나 바이러스","사이드 나마키 이란 보건부 장관, 언론 보도",코로나19 지폐로도 전염된다,출처 : 이란 보건장관 발언 보도,절반의 사실
4,"사회, 코로나 바이러스",인터넷 이용자,"""코로나19로 인한 쌀 부족이 우려된다""","출처 : 인터넷 커뮤니티, 단체 채팅방 등",대체로 사실 아님
5,"기타, 코로나 바이러스",SNS와 커뮤니티 이용자,5G 네트워크가 코로나 전파한다,출처 : SNS와 커뮤니티 이용자,전혀 사실 아님
6,"IT/과학, 코로나 바이러스",시민 제보,코로나19 만성감염병 가능성 있다,출처 : SNU 팩트체크 시민제안 목록,대체로 사실 아님
7,"국제, 코로나 바이러스",마크 그린,"""한국 코로나19 진단방식은 부적절하다""",출처 : 마크 그린 의원 청문회에서 주장,대체로 사실 아님
8,"사회, 코로나 바이러스",인터넷 이용자,모기가 코로나19 전파할 수 있다,"출처 : 인터넷 커뮤니티, SNS, 댓글 등",대체로 사실 아님
9,"IT/과학, 코로나 바이러스","언론보도, 증권사 및 업계 일부 시각",코로나19 수혜입은 게임?,"출처 : 앱애니 '2020년 1분기 모바일 게임결산', 주요 게임업체 1분기 실적발표",절반의 사실
10,"사회, 코로나 바이러스",인터넷 커뮤니티 이용자,"신종 코로나, 강아지ㆍ고양이는 안 걸리나?",출처 : 반려동물 관련 온라인 커뮤니티 및 포털사이트 네이버 지식인 질문 사항,대체로 사실
11,"국제, 사회, 기타, 코로나 바이러스",언론 보도,"“공중화장실, 신종 코로나바이러스 위험지대”",출처 : 2월 3일자 홍콩 명보(明報) 신문,대체로 사실 아님
12,"국제, 사회, 문화, 코로나 바이러스",인터넷 뉴스 댓글 이용자,코로나19 3번 확진자는 슈퍼전파자이다?,출처 : 관련 보도 댓글,대체로 사실 아님
13,"국제, 사회, 문화, 코로나 바이러스",온라인 이용자,"신종 코로나, 택배로도 전염된다?",출처 : 네이버 지식인,전혀 사실 아님
14,"사회, 코로나 바이러스",온라인 쇼핑몰,"손소독제, 코로나19 바이러스 박멸?","출처 : 블로그, 온라인쇼핑몰, SNS",절반의 사실
